,Domain,Country,Element,Crop,Year,Unit,Production,Crop
116,Crops and livestock products,India,Production,Apples,1961,tonnes,185000,apples
117,Crops and livestock products,India,Production,Apples,1962,tonnes,160000,apples
118,Crops and livestock products,India,Production,Apples,1963,tonnes,140000,apples
119,Crops and livestock products,India,Production,Apples,1964,tonnes,110000,apples
120,Crops and livestock products,India,Production,Apples,1965,tonnes,90000,apples
121,Crops and livestock products,India,Production,Apples,1966,tonnes,97500,apples
122,Crops and livestock products,India,Production,Apples,1967,tonnes,127000,apples
123,Crops and livestock products,India,Production,Apples,1968,tonnes,163000,apples
124,Crops and livestock products,India,Production,Apples,1969,tonnes,201000,apples
125,Crops and livestock products,India,Production,Apples,1970,tonnes,277000,apples
126,Crops and livestock products,India,Production,Apples,1971,tonnes,352000,apples
127,Crops and livestock products,India,Production,Apples,1972,tonnes,433000,apples
128,Crops and livestock products,India,Production,Apples,1973,tonnes,515000,apples
129,Crops and livestock products,India,Production,Apples,1974,tonnes,592000,apples
130,Crops and livestock products,India,Production,Apples,1975,tonnes,510000,apples
131,Crops and livestock products,India,Production,Apples,1976,tonnes,500000,apples
132,Crops and livestock products,India,Production,Apples,1977,tonnes,503500,apples
133,Crops and livestock products,India,Production,Apples,1978,tonnes,545070,apples
134,Crops and livestock products,India,Production,Apples,1979,tonnes,662020,apples
135,Crops and livestock products,India,Production,Apples,1980,tonnes,658000,apples
136,Crops and livestock products,India,Production,Apples,1981,tonnes,821790,apples
137,Crops and livestock products,India,Production,Apples,1982,tonnes,926980,apples
138,Crops and livestock products,India,Production,Apples,1983,tonnes,966600,apples
139,Crops and livestock products,India,Production,Apples,1984,tonnes,985900,apples
140,Crops and livestock products,India,Production,Apples,1985,tonnes,1005560,apples
141,Crops and livestock products,India,Production,Apples,1986,tonnes,1258000,apples
142,Crops and livestock products,India,Production,Apples,1987,tonnes,861404,apples
143,Crops and livestock products,India,Production,Apples,1988,tonnes,995296,apples
144,Crops and livestock products,India,Production,Apples,1989,tonnes,1084117,apples
145,Crops and livestock products,India,Production,Apples,1990,tonnes,1093900,apples
146,Crops and livestock products,India,Production,Apples,1991,tonnes,1175005,apples
147,Crops and livestock products,India,Production,Apples,1992,tonnes,1147743,apples
148,Crops and livestock products,India,Production,Apples,1993,tonnes,1168252,apples
149,Crops and livestock products,India,Production,Apples,1994,tonnes,1300000,apples
150,Crops and livestock products,India,Production,Apples,1995,tonnes,1200000,apples
151,Crops and livestock products,India,Production,Apples,1996,tonnes,1211379,apples
152,Crops and livestock products,India,Production,Apples,1997,tonnes,1308390,apples
153,Crops and livestock products,India,Production,Apples,1998,tonnes,1320590,apples
154,Crops and livestock products,India,Production,Apples,1999,tonnes,1380000,apples
155,Crops and livestock products,India,Production,Apples,2000,tonnes,1050000,apples
156,Crops and livestock products,India,Production,Apples,2001,tonnes,1230000,apples
157,Crops and livestock products,India,Production,Apples,2002,tonnes,1160000,apples
158,Crops and livestock products,India,Production,Apples,2003,tonnes,1470000,apples
159,Crops and livestock products,India,Production,Apples,2004,tonnes,1521600,apples
160,Crops and livestock products,India,Production,Apples,2005,tonnes,1739000,apples
161,Crops and livestock products,India,Production,Apples,2006,tonnes,1814000,apples
162,Crops and livestock products,India,Production,Apples,2007,tonnes,1624000,apples
163,Crops and livestock products,India,Production,Apples,2008,tonnes,2001000,apples
164,Crops and livestock products,India,Production,Apples,2009,tonnes,1985000,apples
165,Crops and livestock products,India,Production,Apples,2010,tonnes,1777200,apples
166,Crops and livestock products,India,Production,Apples,2011,tonnes,2891000,apples
167,Crops and livestock products,India,Production,Apples,2012,tonnes,2203400,apples
168,Crops and livestock products,India,Production,Apples,2013,tonnes,1915000,apples
169,Crops and livestock products,India,Production,Apples,2014,tonnes,2497680,apples
170,Crops and livestock products,India,Production,Apples,2015,tonnes,2134000,apples
171,Crops and livestock products,India,Production,Apples,2016,tonnes,2521000,apples
172,Crops and livestock products,India,Production,Apples,2017,tonnes,2265000,apples
173,Crops and livestock products,India,Production,Apples,2018,tonnes,2327000,apples
290,Crops and livestock products,India,Production,Apricots,1961,tonnes,8000,apricots
291,Crops and livestock products,India,Production,Apricots,1962,tonnes,8300,apricots
292,Crops and livestock products,India,Production,Apricots,1963,tonnes,8500,apricots
293,Crops and livestock products,India,Production,Apricots,1964,tonnes,8800,apricots
294,Crops and livestock products,India,Production,Apricots,1965,tonnes,9200,apricots
295,Crops and livestock products,India,Production,Apricots,1966,tonnes,9500,apricots
296,Crops and livestock products,India,Production,Apricots,1967,tonnes,9800,apricots
297,Crops and livestock products,India,Production,Apricots,1968,tonnes,10300,apricots
298,Crops and livestock products,India,Production,Apricots,1969,tonnes,10500,apricots
299,Crops and livestock products,India,Production,Apricots,1970,tonnes,10800,apricots
300,Crops and livestock products,India,Production,Apricots,1971,tonnes,11000,apricots
301,Crops and livestock products,India,Production,Apricots,1972,tonnes,10500,apricots
302,Crops and livestock products,India,Production,Apricots,1973,tonnes,11000,apricots
303,Crops and livestock products,India,Production,Apricots,1974,tonnes,11500,apricots
304,Crops and livestock products,India,Production,Apricots,1975,tonnes,9500,apricots
305,Crops and livestock products,India,Production,Apricots,1976,tonnes,10000,apricots
306,Crops and livestock products,India,Production,Apricots,1977,tonnes,8000,apricots
307,Crops and livestock products,India,Production,Apricots,1978,tonnes,8000,apricots
308,Crops and livestock products,India,Production,Apricots,1979,tonnes,7000,apricots
309,Crops and livestock products,India,Production,Apricots,1980,tonnes,6500,apricots
310,Crops and livestock products,India,Production,Apricots,1981,tonnes,6000,apricots
311,Crops and livestock products,India,Production,Apricots,1982,tonnes,5000,apricots
312,Crops and livestock products,India,Production,Apricots,1983,tonnes,5500,apricots
313,Crops and livestock products,India,Production,Apricots,1984,tonnes,5000,apricots
314,Crops and livestock products,India,Production,Apricots,1985,tonnes,4800,apricots
315,Crops and livestock products,India,Production,Apricots,1986,tonnes,4500,apricots
316,Crops and livestock products,India,Production,Apricots,1987,tonnes,4800,apricots
317,Crops and livestock products,India,Production,Apricots,1988,tonnes,4350,apricots
318,Crops and livestock products,India,Production,Apricots,1989,tonnes,5000,apricots
319,Crops and livestock products,India,Production,Apricots,1990,tonnes,6000,apricots
320,Crops and livestock products,India,Production,Apricots,1991,tonnes,6200,apricots
321,Crops and livestock products,India,Production,Apricots,1992,tonnes,6500,apricots
322,Crops and livestock products,India,Production,Apricots,1993,tonnes,6800,apricots
323,Crops and livestock products,India,Production,Apricots,1994,tonnes,7000,apricots
324,Crops and livestock products,India,Production,Apricots,1995,tonnes,7300,apricots
325,Crops and livestock products,India,Production,Apricots,1996,tonnes,7900,apricots
326,Crops and livestock products,India,Production,Apricots,1997,tonnes,8100,apricots
327,Crops and livestock products,India,Production,Apricots,1998,tonnes,8400,apricots
328,Crops and livestock products,India,Production,Apricots,1999,tonnes,9400,apricots
329,Crops and livestock products,India,Production,Apricots,2000,tonnes,9900,apricots
330,Crops and livestock products,India,Production,Apricots,2001,tonnes,10000,apricots
331,Crops and livestock products,India,Production,Apricots,2002,tonnes,10216,apricots
332,Crops and livestock products,India,Production,Apricots,2003,tonnes,10530,apricots
333,Crops and livestock products,India,Production,Apricots,2004,tonnes,10908,apricots
334,Crops and livestock products,India,Production,Apricots,2005,tonnes,11332,apricots
335,Crops and livestock products,India,Production,Apricots,2006,tonnes,11847,apricots
336,Crops and livestock products,India,Production,Apricots,2007,tonnes,12317,apricots
337,Crops and livestock products,India,Production,Apricots,2008,tonnes,12889,apricots
338,Crops and livestock products,India,Production,Apricots,2009,tonnes,13292,apricots
339,Crops and livestock products,India,Production,Apricots,2010,tonnes,13645,apricots
340,Crops and livestock products,India,Production,Apricots,2011,tonnes,13929,apricots
341,Crops and livestock products,India,Production,Apricots,2012,tonnes,14149,apricots
342,Crops and livestock products,India,Production,Apricots,2013,tonnes,14155,apricots
343,Crops and livestock products,India,Production,Apricots,2014,tonnes,14116,apricots
344,Crops and livestock products,India,Production,Apricots,2015,tonnes,14186,apricots
345,Crops and livestock products,India,Production,Apricots,2016,tonnes,14318,apricots
346,Crops and livestock products,India,Production,Apricots,2017,tonnes,14207,apricots
347,Crops and livestock products,India,Production,Apricots,2018,tonnes,14237,apricots
464,Crops and livestock products,India,Production,Areca nuts,1961,tonnes,120000,areca nuts
465,Crops and livestock products,India,Production,Areca nuts,1962,tonnes,120000,areca nuts
466,Crops and livestock products,India,Production,Areca nuts,1963,tonnes,120000,areca nuts
467,Crops and livestock products,India,Production,Areca nuts,1964,tonnes,120000,areca nuts
468,Crops and livestock products,India,Production,Areca nuts,1965,tonnes,113000,areca nuts
469,Crops and livestock products,India,Production,Areca nuts,1966,tonnes,119000,areca nuts
470,Crops and livestock products,India,Production,Areca nuts,1967,tonnes,130000,areca nuts
471,Crops and livestock products,India,Production,Areca nuts,1968,tonnes,135000,areca nuts
472,Crops and livestock products,India,Production,Areca nuts,1969,tonnes,140000,areca nuts
473,Crops and livestock products,India,Production,Areca nuts,1970,tonnes,137700,areca nuts
474,Crops and livestock products,India,Production,Areca nuts,1971,tonnes,141000,areca nuts
475,Crops and livestock products,India,Production,Areca nuts,1972,tonnes,150500,areca nuts
476,Crops and livestock products,India,Production,Areca nuts,1973,tonnes,147700,areca nuts
477,Crops and livestock products,India,Production,Areca nuts,1974,tonnes,167400,areca nuts
478,Crops and livestock products,India,Production,Areca nuts,1975,tonnes,164700,areca nuts
479,Crops and livestock products,India,Production,Areca nuts,1976,tonnes,160000,areca nuts
480,Crops and livestock products,India,Production,Areca nuts,1977,tonnes,164300,areca nuts
481,Crops and livestock products,India,Production,Areca nuts,1978,tonnes,175200,areca nuts
482,Crops and livestock products,India,Production,Areca nuts,1979,tonnes,181900,areca nuts
483,Crops and livestock products,India,Production,Areca nuts,1980,tonnes,181400,areca nuts
484,Crops and livestock products,India,Production,Areca nuts,1981,tonnes,195900,areca nuts
485,Crops and livestock products,India,Production,Areca nuts,1982,tonnes,194700,areca nuts
486,Crops and livestock products,India,Production,Areca nuts,1983,tonnes,202200,areca nuts
487,Crops and livestock products,India,Production,Areca nuts,1984,tonnes,189500,areca nuts
488,Crops and livestock products,India,Production,Areca nuts,1985,tonnes,218700,areca nuts
489,Crops and livestock products,India,Production,Areca nuts,1986,tonnes,216200,areca nuts
490,Crops and livestock products,India,Production,Areca nuts,1987,tonnes,219000,areca nuts
491,Crops and livestock products,India,Production,Areca nuts,1988,tonnes,226700,areca nuts
492,Crops and livestock products,India,Production,Areca nuts,1989,tonnes,249000,areca nuts
493,Crops and livestock products,India,Production,Areca nuts,1990,tonnes,251300,areca nuts
494,Crops and livestock products,India,Production,Areca nuts,1991,tonnes,238500,areca nuts
495,Crops and livestock products,India,Production,Areca nuts,1992,tonnes,243200,areca nuts
496,Crops and livestock products,India,Production,Areca nuts,1993,tonnes,256300,areca nuts
497,Crops and livestock products,India,Production,Areca nuts,1994,tonnes,271100,areca nuts
498,Crops and livestock products,India,Production,Areca nuts,1995,tonnes,289700,areca nuts
499,Crops and livestock products,India,Production,Areca nuts,1996,tonnes,295500,areca nuts
500,Crops and livestock products,India,Production,Areca nuts,1997,tonnes,307700,areca nuts
501,Crops and livestock products,India,Production,Areca nuts,1998,tonnes,333900,areca nuts
502,Crops and livestock products,India,Production,Areca nuts,1999,tonnes,310000,areca nuts
503,Crops and livestock products,India,Production,Areca nuts,2000,tonnes,330000,areca nuts
504,Crops and livestock products,India,Production,Areca nuts,2001,tonnes,330000,areca nuts
505,Crops and livestock products,India,Production,Areca nuts,2002,tonnes,400000,areca nuts
506,Crops and livestock products,India,Production,Areca nuts,2003,tonnes,415900,areca nuts
507,Crops and livestock products,India,Production,Areca nuts,2004,tonnes,439200,areca nuts
508,Crops and livestock products,India,Production,Areca nuts,2005,tonnes,452700,areca nuts
509,Crops and livestock products,India,Production,Areca nuts,2006,tonnes,483100,areca nuts
510,Crops and livestock products,India,Production,Areca nuts,2007,tonnes,483300,areca nuts
511,Crops and livestock products,India,Production,Areca nuts,2008,tonnes,476000,areca nuts
512,Crops and livestock products,India,Production,Areca nuts,2009,tonnes,481300,areca nuts
513,Crops and livestock products,India,Production,Areca nuts,2010,tonnes,478000,areca nuts
514,Crops and livestock products,India,Production,Areca nuts,2011,tonnes,478000,areca nuts
515,Crops and livestock products,India,Production,Areca nuts,2012,tonnes,681000,areca nuts
516,Crops and livestock products,India,Production,Areca nuts,2013,tonnes,609000,areca nuts
517,Crops and livestock products,India,Production,Areca nuts,2014,tonnes,622000,areca nuts
518,Crops and livestock products,India,Production,Areca nuts,2015,tonnes,747000,areca nuts
519,Crops and livestock products,India,Production,Areca nuts,2016,tonnes,714000,areca nuts
520,Crops and livestock products,India,Production,Areca nuts,2017,tonnes,723000,areca nuts
521,Crops and livestock products,India,Production,Areca nuts,2018,tonnes,833000,areca nuts
638,Crops and livestock products,India,Production,Bananas,1961,tonnes,2257000,bananas
639,Crops and livestock products,India,Production,Bananas,1962,tonnes,2425000,bananas
640,Crops and livestock products,India,Production,Bananas,1963,tonnes,2601000,bananas
641,Crops and livestock products,India,Production,Bananas,1964,tonnes,2684000,bananas
642,Crops and livestock products,India,Production,Bananas,1965,tonnes,3271000,bananas
643,Crops and livestock products,India,Production,Bananas,1966,tonnes,3412000,bananas
644,Crops and livestock products,India,Production,Bananas,1967,tonnes,3203000,bananas
645,Crops and livestock products,India,Production,Bananas,1968,tonnes,3125000,bananas
646,Crops and livestock products,India,Production,Bananas,1969,tonnes,3172500,bananas
647,Crops and livestock products,India,Production,Bananas,1970,tonnes,2896800,bananas
648,Crops and livestock products,India,Production,Bananas,1971,tonnes,3374100,bananas
649,Crops and livestock products,India,Production,Bananas,1972,tonnes,3190000,bananas
650,Crops and livestock products,India,Production,Bananas,1973,tonnes,3167100,bananas
651,Crops and livestock products,India,Production,Bananas,1974,tonnes,3274100,bananas
652,Crops and livestock products,India,Production,Bananas,1975,tonnes,3409000,bananas
653,Crops and livestock products,India,Production,Bananas,1976,tonnes,3758200,bananas
654,Crops and livestock products,India,Production,Bananas,1977,tonnes,4245900,bananas
655,Crops and livestock products,India,Production,Bananas,1978,tonnes,4560900,bananas
656,Crops and livestock products,India,Production,Bananas,1979,tonnes,4273500,bananas
657,Crops and livestock products,India,Production,Bananas,1980,tonnes,4354000,bananas
658,Crops and livestock products,India,Production,Bananas,1981,tonnes,4580000,bananas
659,Crops and livestock products,India,Production,Bananas,1982,tonnes,4221300,bananas
660,Crops and livestock products,India,Production,Bananas,1983,tonnes,4647700,bananas
661,Crops and livestock products,India,Production,Bananas,1984,tonnes,5247700,bananas
662,Crops and livestock products,India,Production,Bananas,1985,tonnes,5389800,bananas
663,Crops and livestock products,India,Production,Bananas,1986,tonnes,5714000,bananas
664,Crops and livestock products,India,Production,Bananas,1987,tonnes,5917900,bananas
665,Crops and livestock products,India,Production,Bananas,1988,tonnes,5989900,bananas
666,Crops and livestock products,India,Production,Bananas,1989,tonnes,6409200,bananas
667,Crops and livestock products,India,Production,Bananas,1990,tonnes,7153000,bananas
668,Crops and livestock products,India,Production,Bananas,1991,tonnes,7853100,bananas
669,Crops and livestock products,India,Production,Bananas,1992,tonnes,8523000,bananas
670,Crops and livestock products,India,Production,Bananas,1993,tonnes,9945000,bananas
671,Crops and livestock products,India,Production,Bananas,1994,tonnes,10686000,bananas
672,Crops and livestock products,India,Production,Bananas,1995,tonnes,10182000,bananas
673,Crops and livestock products,India,Production,Bananas,1996,tonnes,10299000,bananas
674,Crops and livestock products,India,Production,Bananas,1997,tonnes,13340000,bananas
675,Crops and livestock products,India,Production,Bananas,1998,tonnes,15100000,bananas
676,Crops and livestock products,India,Production,Bananas,1999,tonnes,16810000,bananas
677,Crops and livestock products,India,Production,Bananas,2000,tonnes,14137300,bananas
678,Crops and livestock products,India,Production,Bananas,2001,tonnes,14209900,bananas
679,Crops and livestock products,India,Production,Bananas,2002,tonnes,13304400,bananas
680,Crops and livestock products,India,Production,Bananas,2003,tonnes,13856600,bananas
681,Crops and livestock products,India,Production,Bananas,2004,tonnes,16744500,bananas
682,Crops and livestock products,India,Production,Bananas,2005,tonnes,18887800,bananas
683,Crops and livestock products,India,Production,Bananas,2006,tonnes,20997800,bananas
684,Crops and livestock products,India,Production,Bananas,2007,tonnes,23823000,bananas
685,Crops and livestock products,India,Production,Bananas,2008,tonnes,26217000,bananas
686,Crops and livestock products,India,Production,Bananas,2009,tonnes,26469500,bananas
687,Crops and livestock products,India,Production,Bananas,2010,tonnes,29780000,bananas
688,Crops and livestock products,India,Production,Bananas,2011,tonnes,28455100,bananas
689,Crops and livestock products,India,Production,Bananas,2012,tonnes,26509000,bananas
690,Crops and livestock products,India,Production,Bananas,2013,tonnes,27575000,bananas
691,Crops and livestock products,India,Production,Bananas,2014,tonnes,29724550,bananas
692,Crops and livestock products,India,Production,Bananas,2015,tonnes,29221000,bananas
693,Crops and livestock products,India,Production,Bananas,2016,tonnes,29135000,bananas
694,Crops and livestock products,India,Production,Bananas,2017,tonnes,30477000,bananas
695,Crops and livestock products,India,Production,Bananas,2018,tonnes,30808000,bananas
812,Crops and livestock products,India,Production,Barley,1961,tonnes,2819000,barley
813,Crops and livestock products,India,Production,Barley,1962,tonnes,3150000,barley
814,Crops and livestock products,India,Production,Barley,1963,tonnes,2420000,barley
815,Crops and livestock products,India,Production,Barley,1964,tonnes,2038000,barley
816,Crops and livestock products,India,Production,Barley,1965,tonnes,2521000,barley
817,Crops and livestock products,India,Production,Barley,1966,tonnes,2382000,barley
818,Crops and livestock products,India,Production,Barley,1967,tonnes,2348400,barley
819,Crops and livestock products,India,Production,Barley,1968,tonnes,3503600,barley
820,Crops and livestock products,India,Production,Barley,1969,tonnes,2423800,barley
821,Crops and livestock products,India,Production,Barley,1970,tonnes,2716300,barley
822,Crops and livestock products,India,Production,Barley,1971,tonnes,2784400,barley
823,Crops and livestock products,India,Production,Barley,1972,tonnes,2577000,barley
824,Crops and livestock products,India,Production,Barley,1973,tonnes,2379100,barley
825,Crops and livestock products,India,Production,Barley,1974,tonnes,2371000,barley
826,Crops and livestock products,India,Production,Barley,1975,tonnes,3134700,barley
827,Crops and livestock products,India,Production,Barley,1976,tonnes,3191900,barley
828,Crops and livestock products,India,Production,Barley,1977,tonnes,2343800,barley
829,Crops and livestock products,India,Production,Barley,1978,tonnes,2311200,barley
830,Crops and livestock products,India,Production,Barley,1979,tonnes,2142000,barley
831,Crops and livestock products,India,Production,Barley,1980,tonnes,1623700,barley
832,Crops and livestock products,India,Production,Barley,1981,tonnes,2293000,barley
833,Crops and livestock products,India,Production,Barley,1982,tonnes,1992600,barley
834,Crops and livestock products,India,Production,Barley,1983,tonnes,1866800,barley
835,Crops and livestock products,India,Production,Barley,1984,tonnes,1834000,barley
836,Crops and livestock products,India,Production,Barley,1985,tonnes,1555900,barley
837,Crops and livestock products,India,Production,Barley,1986,tonnes,1962500,barley
838,Crops and livestock products,India,Production,Barley,1987,tonnes,1669400,barley
839,Crops and livestock products,India,Production,Barley,1988,tonnes,1576800,barley
840,Crops and livestock products,India,Production,Barley,1989,tonnes,1721600,barley
841,Crops and livestock products,India,Production,Barley,1990,tonnes,1485700,barley
842,Crops and livestock products,India,Production,Barley,1991,tonnes,1632400,barley
843,Crops and livestock products,India,Production,Barley,1992,tonnes,1698700,barley
844,Crops and livestock products,India,Production,Barley,1993,tonnes,1512400,barley
845,Crops and livestock products,India,Production,Barley,1994,tonnes,1312700,barley
846,Crops and livestock products,India,Production,Barley,1995,tonnes,1283000,barley
847,Crops and livestock products,India,Production,Barley,1996,tonnes,1510000,barley
848,Crops and livestock products,India,Production,Barley,1997,tonnes,1462000,barley
849,Crops and livestock products,India,Production,Barley,1998,tonnes,1679400,barley
850,Crops and livestock products,India,Production,Barley,1999,tonnes,1537800,barley
851,Crops and livestock products,India,Production,Barley,2000,tonnes,1447000,barley
852,Crops and livestock products,India,Production,Barley,2001,tonnes,1430600,barley
853,Crops and livestock products,India,Production,Barley,2002,tonnes,1424500,barley
854,Crops and livestock products,India,Production,Barley,2003,tonnes,1407400,barley
855,Crops and livestock products,India,Production,Barley,2004,tonnes,1297600,barley
856,Crops and livestock products,India,Production,Barley,2005,tonnes,1207100,barley
857,Crops and livestock products,India,Production,Barley,2006,tonnes,1220600,barley
858,Crops and livestock products,India,Production,Barley,2007,tonnes,1330000,barley
859,Crops and livestock products,India,Production,Barley,2008,tonnes,1200000,barley
860,Crops and livestock products,India,Production,Barley,2009,tonnes,1689100,barley
861,Crops and livestock products,India,Production,Barley,2010,tonnes,1354700,barley
862,Crops and livestock products,India,Production,Barley,2011,tonnes,1662900,barley
863,Crops and livestock products,India,Production,Barley,2012,tonnes,1620000,barley
864,Crops and livestock products,India,Production,Barley,2013,tonnes,1750000,barley
865,Crops and livestock products,India,Production,Barley,2014,tonnes,1830000,barley
866,Crops and livestock products,India,Production,Barley,2015,tonnes,1613000,barley
867,Crops and livestock products,India,Production,Barley,2016,tonnes,1440000,barley
868,Crops and livestock products,India,Production,Barley,2017,tonnes,1747450,barley
869,Crops and livestock products,India,Production,Barley,2018,tonnes,1780810,barley
986,Crops and livestock products,India,Production,"Beans, dry",1961,tonnes,1685627,beans dry
987,Crops and livestock products,India,Production,"Beans, dry",1962,tonnes,1804505,beans dry
988,Crops and livestock products,India,Production,"Beans, dry",1963,tonnes,1825800,beans dry
989,Crops and livestock products,India,Production,"Beans, dry",1964,tonnes,2059400,beans dry
990,Crops and livestock products,India,Production,"Beans, dry",1965,tonnes,1701700,beans dry
991,Crops and livestock products,India,Production,"Beans, dry",1966,tonnes,1688500,beans dry
992,Crops and livestock products,India,Production,"Beans, dry",1967,tonnes,2007100,beans dry
993,Crops and livestock products,India,Production,"Beans, dry",1968,tonnes,1864700,beans dry
994,Crops and livestock products,India,Production,"Beans, dry",1969,tonnes,2014000,beans dry
995,Crops and livestock products,India,Production,"Beans, dry",1970,tonnes,2409000,beans dry
996,Crops and livestock products,India,Production,"Beans, dry",1971,tonnes,2032800,beans dry
997,Crops and livestock products,India,Production,"Beans, dry",1972,tonnes,1747400,beans dry
998,Crops and livestock products,India,Production,"Beans, dry",1973,tonnes,2670300,beans dry
999,Crops and livestock products,India,Production,"Beans, dry",1974,tonnes,2175100,beans dry
1000,Crops and livestock products,India,Production,"Beans, dry",1975,tonnes,2767400,beans dry
1001,Crops and livestock products,India,Production,"Beans, dry",1976,tonnes,2463300,beans dry
1002,Crops and livestock products,India,Production,"Beans, dry",1977,tonnes,2746500,beans dry
1003,Crops and livestock products,India,Production,"Beans, dry",1978,tonnes,2550600,beans dry
1004,Crops and livestock products,India,Production,"Beans, dry",1979,tonnes,1986400,beans dry
1005,Crops and livestock products,India,Production,"Beans, dry",1980,tonnes,2751600,beans dry
1006,Crops and livestock products,India,Production,"Beans, dry",1981,tonnes,2943900,beans dry
1007,Crops and livestock products,India,Production,"Beans, dry",1982,tonnes,2862100,beans dry
1008,Crops and livestock products,India,Production,"Beans, dry",1983,tonnes,3501700,beans dry
1009,Crops and livestock products,India,Production,"Beans, dry",1984,tonnes,3115200,beans dry
1010,Crops and livestock products,India,Production,"Beans, dry",1985,tonnes,3128000,beans dry
1011,Crops and livestock products,India,Production,"Beans, dry",1986,tonnes,3076600,beans dry
1012,Crops and livestock products,India,Production,"Beans, dry",1987,tonnes,3244600,beans dry
1013,Crops and livestock products,India,Production,"Beans, dry",1988,tonnes,4036300,beans dry
1014,Crops and livestock products,India,Production,"Beans, dry",1989,tonnes,3902000,beans dry
1015,Crops and livestock products,India,Production,"Beans, dry",1990,tonnes,4084900,beans dry
1016,Crops and livestock products,India,Production,"Beans, dry",1991,tonnes,3529000,beans dry
1017,Crops and livestock products,India,Production,"Beans, dry",1992,tonnes,3870400,beans dry
1018,Crops and livestock products,India,Production,"Beans, dry",1993,tonnes,3274700,beans dry
1019,Crops and livestock products,India,Production,"Beans, dry",1994,tonnes,3057400,beans dry
1020,Crops and livestock products,India,Production,"Beans, dry",1995,tonnes,3440000,beans dry
1021,Crops and livestock products,India,Production,"Beans, dry",1996,tonnes,3507800,beans dry
1022,Crops and livestock products,India,Production,"Beans, dry",1997,tonnes,2955800,beans dry
1023,Crops and livestock products,India,Production,"Beans, dry",1998,tonnes,2557600,beans dry
1024,Crops and livestock products,India,Production,"Beans, dry",1999,tonnes,2866000,beans dry
1025,Crops and livestock products,India,Production,"Beans, dry",2000,tonnes,2847000,beans dry
1026,Crops and livestock products,India,Production,"Beans, dry",2001,tonnes,3296200,beans dry
1027,Crops and livestock products,India,Production,"Beans, dry",2002,tonnes,2618800,beans dry
1028,Crops and livestock products,India,Production,"Beans, dry",2003,tonnes,4230800,beans dry
1029,Crops and livestock products,India,Production,"Beans, dry",2004,tonnes,2883900,beans dry
1030,Crops and livestock products,India,Production,"Beans, dry",2005,tonnes,2630800,beans dry
1031,Crops and livestock products,India,Production,"Beans, dry",2006,tonnes,3270000,beans dry
1032,Crops and livestock products,India,Production,"Beans, dry",2007,tonnes,3930000,beans dry
1033,Crops and livestock products,India,Production,"Beans, dry",2008,tonnes,3010000,beans dry
1034,Crops and livestock products,India,Production,"Beans, dry",2009,tonnes,2430000,beans dry
1035,Crops and livestock products,India,Production,"Beans, dry",2010,tonnes,4890000,beans dry
1036,Crops and livestock products,India,Production,"Beans, dry",2011,tonnes,4330000,beans dry
1037,Crops and livestock products,India,Production,"Beans, dry",2012,tonnes,3760000,beans dry
1038,Crops and livestock products,India,Production,"Beans, dry",2013,tonnes,4020000,beans dry
1039,Crops and livestock products,India,Production,"Beans, dry",2014,tonnes,4230000,beans dry
1040,Crops and livestock products,India,Production,"Beans, dry",2015,tonnes,4260000,beans dry
1041,Crops and livestock products,India,Production,"Beans, dry",2016,tonnes,5890000,beans dry
1042,Crops and livestock products,India,Production,"Beans, dry",2017,tonnes,6340000,beans dry
1043,Crops and livestock products,India,Production,"Beans, dry",2018,tonnes,6220000,beans dry
1160,Crops and livestock products,India,Production,"Beans, green",1961,tonnes,185000,beans green
1161,Crops and livestock products,India,Production,"Beans, green",1962,tonnes,186000,beans green
1162,Crops and livestock products,India,Production,"Beans, green",1963,tonnes,190000,beans green
1163,Crops and livestock products,India,Production,"Beans, green",1964,tonnes,200000,beans green
1164,Crops and livestock products,India,Production,"Beans, green",1965,tonnes,210000,beans green
1165,Crops and livestock products,India,Production,"Beans, green",1966,tonnes,205000,beans green
1166,Crops and livestock products,India,Production,"Beans, green",1967,tonnes,210000,beans green
1167,Crops and livestock products,India,Production,"Beans, green",1968,tonnes,220000,beans green
1168,Crops and livestock products,India,Production,"Beans, green",1969,tonnes,230000,beans green
1169,Crops and livestock products,India,Production,"Beans, green",1970,tonnes,240000,beans green
1170,Crops and livestock products,India,Production,"Beans, green",1971,tonnes,250000,beans green
1171,Crops and livestock products,India,Production,"Beans, green",1972,tonnes,260000,beans green
1172,Crops and livestock products,India,Production,"Beans, green",1973,tonnes,270000,beans green
1173,Crops and livestock products,India,Production,"Beans, green",1974,tonnes,277000,beans green
1174,Crops and livestock products,India,Production,"Beans, green",1975,tonnes,280000,beans green
1175,Crops and livestock products,India,Production,"Beans, green",1976,tonnes,283000,beans green
1176,Crops and livestock products,India,Production,"Beans, green",1977,tonnes,285000,beans green
1177,Crops and livestock products,India,Production,"Beans, green",1978,tonnes,295000,beans green
1178,Crops and livestock products,India,Production,"Beans, green",1979,tonnes,305000,beans green
1179,Crops and livestock products,India,Production,"Beans, green",1980,tonnes,320000,beans green
1180,Crops and livestock products,India,Production,"Beans, green",1981,tonnes,330000,beans green
1181,Crops and livestock products,India,Production,"Beans, green",1982,tonnes,350000,beans green
1182,Crops and livestock products,India,Production,"Beans, green",1983,tonnes,355000,beans green
1183,Crops and livestock products,India,Production,"Beans, green",1984,tonnes,360000,beans green
