,Domain,Area,Element,Item,Year,Unit,Value,Crop,Rain_JAN,Rain_FEB,Rain_MAR,Rain_APR,Rain_MAY,Rain_JUN,Rain_JUL,Rain_AUG,Rain_SEP,Rain_OCT,Rain_NOV,Rain_DEC,Temp_ANNUAL,Temp_JAN-FEB,Temp_MAR-MAY,Temp_JUN-SEP,Temp_OCT-DEC
0,Crops and livestock products,India,Area harvested,Apples,1961,ha,44500,apples,26.1,34.8,26.0,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,24.0,18.98,26.11,27.06,21.17
1,Crops and livestock products,India,Area harvested,Apples,1962,ha,38500,apples,12.6,21.6,16.0,43.6,70.8,137.1,281.6,276.9,211.0,78.4,18.3,29.9,24.04,18.91,25.91,27.14,21.47
2,Crops and livestock products,India,Area harvested,Apples,1963,ha,33700,apples,6.8,9.8,41.7,50.6,60.9,168.0,258.6,316.7,164.9,99.1,28.4,15.5,24.15,19.07,25.57,27.21,22.04
3,Crops and livestock products,India,Area harvested,Apples,1964,ha,26500,apples,18.6,14.1,19.0,40.0,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,24.1,18.83,26.38,26.9,21.58
4,Crops and livestock products,India,Area harvested,Apples,1965,ha,21700,apples,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34.0,18.2,22.2,24.07,19.22,25.24,27.08,22.1
5,Crops and livestock products,India,Area harvested,Apples,1966,ha,23500,apples,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51.0,16.7,24.36,19.93,26.07,27.17,21.83
6,Crops and livestock products,India,Area harvested,Apples,1967,ha,30600,apples,11.1,14.2,63.3,29.5,42.8,144.0,305.6,264.3,170.3,40.6,12.1,56.1,24.11,19.44,25.55,27.19,21.68
7,Crops and livestock products,India,Area harvested,Apples,1968,ha,39300,apples,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,23.94,18.25,25.62,27.22,21.69
8,Crops and livestock products,India,Area harvested,Apples,1969,ha,48500,apples,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55.0,35.8,12.7,24.46,19.18,26.39,27.35,22.2
9,Crops and livestock products,India,Area harvested,Apples,1970,ha,66800,apples,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313.0,212.7,75.3,15.7,1.6,24.26,19.56,26.39,27.06,21.55
10,Crops and livestock products,India,Area harvested,Apples,1971,ha,84800,apples,16.1,23.6,10.8,52.8,75.0,229.9,267.2,267.3,146.5,99.9,15.9,12.0,23.91,19.05,25.78,26.75,21.48
11,Crops and livestock products,India,Area harvested,Apples,1972,ha,91600,apples,10.3,27.6,21.6,37.1,55.3,123.3,204.0,219.5,127.5,65.7,31.4,23.7,24.1,18.57,25.78,27.27,21.88
12,Crops and livestock products,India,Area harvested,Apples,1973,ha,101200,apples,21.0,21.8,21.2,27.5,56.5,149.9,277.4,311.0,182.1,114.6,18.9,17.7,24.41,19.74,26.53,27.3,21.53
13,Crops and livestock products,India,Area harvested,Apples,1974,ha,108500,apples,16.1,12.9,20.5,33.7,64.2,122.0,283.6,232.5,145.3,101.6,10.7,12.1,24.0,18.54,26.24,27.02,21.38
14,Crops and livestock products,India,Area harvested,Apples,1975,ha,115700,apples,15.4,20.8,28.7,28.3,50.2,175.6,310.7,292.5,224.6,121.9,22.8,3.3,23.74,18.69,25.77,26.57,21.3
15,Crops and livestock products,India,Area harvested,Apples,1976,ha,120500,apples,11.5,24.5,25.5,36.3,45.4,160.3,294.1,294.0,144.2,33.0,55.0,7.6,24.07,18.87,25.61,26.87,22.25
16,Crops and livestock products,India,Area harvested,Apples,1977,ha,121620,apples,21.0,10.2,14.6,68.3,84.4,187.2,323.4,245.4,147.8,85.6,65.8,16.1,24.35,19.35,26.03,27.13,22.3
17,Crops and livestock products,India,Area harvested,Apples,1978,ha,125640,apples,12.3,27.0,44.2,33.1,60.2,208.8,290.0,282.0,161.9,49.1,49.9,18.8,24.24,18.95,25.94,27.12,22.22
18,Crops and livestock products,India,Area harvested,Apples,1979,ha,130370,apples,20.9,35.0,28.9,21.2,54.2,140.5,239.6,210.6,136.8,51.8,76.1,14.4,24.57,19.47,25.97,27.54,22.59
19,Crops and livestock products,India,Area harvested,Apples,1980,ha,138900,apples,12.8,22.3,32.5,34.6,55.3,227.8,295.0,263.8,145.7,49.3,24.2,19.0,24.55,19.64,26.58,27.26,22.17
20,Crops and livestock products,India,Area harvested,Apples,1981,ha,145890,apples,29.3,20.4,48.0,37.3,67.1,151.3,309.1,237.0,184.5,45.1,27.4,14.0,24.27,19.42,26.14,27.22,21.68
21,Crops and livestock products,India,Area harvested,Apples,1982,ha,153750,apples,23.8,24.2,45.7,49.8,59.0,137.8,230.8,276.9,124.9,51.7,46.0,13.9,24.15,19.14,25.41,27.31,22.02
22,Crops and livestock products,India,Area harvested,Apples,1983,ha,161710,apples,18.5,23.3,43.4,57.0,70.1,150.8,282.2,304.3,251.6,85.9,10.8,22.9,24.12,19.09,25.45,27.43,21.71
23,Crops and livestock products,India,Area harvested,Apples,1984,ha,164940,apples,19.0,35.9,22.8,45.3,60.4,192.3,291.9,256.5,144.6,61.0,15.7,15.3,24.26,18.85,26.51,27.1,21.82
24,Crops and livestock products,India,Area harvested,Apples,1985,ha,168230,apples,23.2,9.9,20.1,39.5,63.0,156.5,290.1,231.7,149.6,114.1,18.8,28.4,24.45,19.61,26.72,27.12,21.84
25,Crops and livestock products,India,Area harvested,Apples,1986,ha,165000,apples,15.5,36.6,29.9,50.0,49.4,182.6,264.2,228.3,128.4,74.7,49.6,28.4,24.2,19.12,25.94,27.17,21.9
26,Crops and livestock products,India,Area harvested,Apples,1987,ha,178305,apples,13.2,23.8,28.8,43.9,67.0,133.9,223.2,242.1,152.2,94.4,44.4,21.9,24.57,19.42,25.85,27.88,22.29
27,Crops and livestock products,India,Area harvested,Apples,1988,ha,185083,apples,10.4,28.7,53.7,41.7,70.4,161.8,374.8,295.3,217.7,53.6,16.2,17.8,24.42,19.7,26.24,27.22,22.0
28,Crops and livestock products,India,Area harvested,Apples,1989,ha,186660,apples,15.4,15.3,28.8,34.6,57.5,184.7,302.3,236.2,163.1,51.9,20.3,17.2,24.03,18.76,25.69,26.98,21.94
29,Crops and livestock products,India,Area harvested,Apples,1990,ha,187198,apples,16.0,44.2,54.0,43.8,112.9,191.3,282.9,293.6,197.4,104.1,30.2,31.0,24.21,19.44,25.55,27.18,22.11
30,Crops and livestock products,India,Area harvested,Apples,1991,ha,193638,apples,14.3,28.1,27.8,51.7,68.9,184.7,279.2,268.1,140.7,61.8,30.2,14.7,24.28,19.21,26.02,27.32,21.87
31,Crops and livestock products,India,Area harvested,Apples,1992,ha,194561,apples,16.0,16.5,24.8,26.1,59.3,139.7,262.5,274.0,171.7,64.7,41.6,5.6,24.15,19.06,25.64,27.15,22.04
32,Crops and livestock products,India,Area harvested,Apples,1993,ha,191256,apples,18.2,25.6,41.6,27.0,71.3,172.1,305.4,203.2,208.5,87.9,30.5,16.5,24.43,19.61,25.98,27.34,22.21
33,Crops and livestock products,India,Area harvested,Apples,1994,ha,200000,apples,25.0,27.9,25.2,45.9,53.1,205.7,350.0,282.2,149.4,82.8,25.5,22.6,24.46,19.76,26.3,27.3,21.97
34,Crops and livestock products,India,Area harvested,Apples,1995,ha,210000,apples,31.3,29.4,28.3,32.4,82.4,143.3,323.4,269.0,179.0,78.0,36.8,9.2,25.29,20.33,26.94,28.07,23.19
35,Crops and livestock products,India,Area harvested,Apples,1996,ha,217099,apples,22.9,23.2,32.1,31.4,56.0,185.7,262.1,292.4,146.1,100.5,13.6,16.9,24.55,20.79,26.49,27.22,21.76
36,Crops and livestock products,India,Area harvested,Apples,1997,ha,222700,apples,14.3,10.4,30.3,46.0,48.6,171.7,281.5,261.9,151.4,61.1,57.6,48.3,24.1,18.87,25.69,27.6,21.89
37,Crops and livestock products,India,Area harvested,Apples,1998,ha,227680,apples,16.4,28.2,39.1,36.3,49.2,163.9,278.4,243.8,196.5,107.4,39.3,10.3,24.76,19.72,26.41,27.69,22.42
38,Crops and livestock products,India,Area harvested,Apples,1999,ha,231000,apples,13.7,11.2,8.8,19.3,94.9,169.9,261.7,213.2,183.0,117.2,20.0,3.7,24.67,19.75,26.66,27.38,22.29
39,Crops and livestock products,India,Area harvested,Apples,2000,ha,230000,apples,18.4,28.2,17.9,34.7,71.6,179.0,263.5,221.1,134.5,41.9,14.6,10.0,24.6,19.33,26.47,27.23,22.68
40,Crops and livestock products,India,Area harvested,Apples,2001,ha,240000,apples,7.3,8.8,18.8,43.7,67.2,219.1,279.7,209.4,114.2,107.5,22.5,7.1,24.73,19.75,26.82,27.47,22.52
41,Crops and livestock products,India,Area harvested,Apples,2002,ha,240000,apples,15.7,20.3,21.5,38.3,63.3,180.1,146.2,262.5,151.2,59.5,18.2,5.1,25.0,19.65,27.22,27.71,22.58
42,Crops and livestock products,India,Area harvested,Apples,2003,ha,250000,apples,7.6,45.6,33.3,35.4,39.1,184.5,316.7,255.3,191.4,100.6,15.5,18.6,24.72,19.82,26.52,27.64,22.23
43,Crops and livestock products,India,Area harvested,Apples,2004,ha,201200,apples,25.7,8.8,11.4,59.0,88.9,158.7,242.1,248.7,124.6,92.2,15.8,4.6,24.74,19.93,27.06,27.33,22.24
44,Crops and livestock products,India,Area harvested,Apples,2005,ha,230700,apples,28.1,41.8,42.5,37.7,46.1,143.2,334.1,190.1,206.9,99.3,27.2,11.2,24.58,19.79,26.33,27.64,21.93
45,Crops and livestock products,India,Area harvested,Apples,2006,ha,226600,apples,17.7,11.9,35.6,32.7,75.0,141.8,287.6,281.3,178.6,51.8,34.6,13.1,25.06,21.33,26.52,27.4,22.66
46,Crops and livestock products,India,Area harvested,Apples,2007,ha,252000,apples,1.7,36.7,35.2,30.6,46.8,192.5,286.2,257.4,206.8,55.7,14.4,15.3,24.77,20.1,26.69,27.49,22.32
47,Crops and livestock products,India,Area harvested,Apples,2008,ha,264000,apples,18.4,19.3,41.2,29.5,43.7,202.0,245.0,265.8,165.1,51.6,25.5,11.0,24.61,19.16,26.46,27.26,22.87
48,Crops and livestock products,India,Area harvested,Apples,2009,ha,274000,apples,12.0,12.0,14.2,25.1,56.0,85.7,280.7,192.5,139.4,71.4,53.7,11.1,25.11,20.72,26.86,27.89,22.58
49,Crops and livestock products,India,Area harvested,Apples,2010,ha,282900,apples,7.5,17.0,14.0,39.0,73.8,138.1,300.7,274.7,197.7,69.0,61.4,22.7,25.13,20.19,27.83,27.5,22.6
50,Crops and livestock products,India,Area harvested,Apples,2011,ha,289100,apples,6.8,25.8,22.4,41.1,53.1,183.5,246.0,284.9,186.9,38.1,20.1,7.6,24.67,19.54,26.38,27.54,22.71
51,Crops and livestock products,India,Area harvested,Apples,2012,ha,321900,apples,26.5,12.7,11.3,47.5,31.7,117.8,250.2,262.4,193.5,58.7,30.7,11.7,24.69,19.34,26.55,27.71,22.35
52,Crops and livestock products,India,Area harvested,Apples,2013,ha,312000,apples,11.3,40.1,15.7,30.4,57.8,219.8,310.0,254.7,152.7,129.4,14.0,6.7,24.82,19.98,26.85,27.46,22.5
53,Crops and livestock products,India,Area harvested,Apples,2014,ha,313040,apples,19.2,27.4,36.1,22.2,72.9,95.4,261.2,237.5,188.0,60.2,14.4,10.7,24.73,19.58,26.24,27.88,22.47
54,Crops and livestock products,India,Area harvested,Apples,2015,ha,319000,apples,17.9,25.6,36.1,42.1,67.4,164.6,284.5,257.5,171.9,73.1,29.4,19.0,24.91,20.12,26.29,27.73,22.99
55,Crops and livestock products,India,Area harvested,Apples,2016,ha,277000,apples,17.6,26.2,34.4,42.8,66.3,168.8,287.7,261.0,169.2,76.0,29.2,19.7,25.15,22.25,28.86,28.44,24.2
56,Crops and livestock products,India,Area harvested,Apples,2017,ha,305000,apples,18.2,26.6,33.0,41.5,68.1,169.2,294.8,260.3,173.4,78.1,28.5,19.3,24.79,21.84,28.41,28.5,24.21
57,Crops and livestock products,India,Area harvested,Apples,2018,ha,301000,apples,18.5,26.5,32.1,39.5,67.0,171.9,293.2,259.4,165.3,79.2,28.7,18.9,25.09,21.24,28.16,28.28,23.55
58,Crops and livestock products,India,Yield,Apples,1961,hg/ha,41573,apples,26.1,34.8,26.0,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,24.0,18.98,26.11,27.06,21.17
59,Crops and livestock products,India,Yield,Apples,1962,hg/ha,41558,apples,12.6,21.6,16.0,43.6,70.8,137.1,281.6,276.9,211.0,78.4,18.3,29.9,24.04,18.91,25.91,27.14,21.47
60,Crops and livestock products,India,Yield,Apples,1963,hg/ha,41543,apples,6.8,9.8,41.7,50.6,60.9,168.0,258.6,316.7,164.9,99.1,28.4,15.5,24.15,19.07,25.57,27.21,22.04
61,Crops and livestock products,India,Yield,Apples,1964,hg/ha,41509,apples,18.6,14.1,19.0,40.0,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,24.1,18.83,26.38,26.9,21.58
62,Crops and livestock products,India,Yield,Apples,1965,hg/ha,41475,apples,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34.0,18.2,22.2,24.07,19.22,25.24,27.08,22.1
63,Crops and livestock products,India,Yield,Apples,1966,hg/ha,41489,apples,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51.0,16.7,24.36,19.93,26.07,27.17,21.83
64,Crops and livestock products,India,Yield,Apples,1967,hg/ha,41503,apples,11.1,14.2,63.3,29.5,42.8,144.0,305.6,264.3,170.3,40.6,12.1,56.1,24.11,19.44,25.55,27.19,21.68
65,Crops and livestock products,India,Yield,Apples,1968,hg/ha,41476,apples,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,23.94,18.25,25.62,27.22,21.69
66,Crops and livestock products,India,Yield,Apples,1969,hg/ha,41443,apples,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55.0,35.8,12.7,24.46,19.18,26.39,27.35,22.2
67,Crops and livestock products,India,Yield,Apples,1970,hg/ha,41467,apples,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313.0,212.7,75.3,15.7,1.6,24.26,19.56,26.39,27.06,21.55
68,Crops and livestock products,India,Yield,Apples,1971,hg/ha,41509,apples,16.1,23.6,10.8,52.8,75.0,229.9,267.2,267.3,146.5,99.9,15.9,12.0,23.91,19.05,25.78,26.75,21.48
69,Crops and livestock products,India,Yield,Apples,1972,hg/ha,47271,apples,10.3,27.6,21.6,37.1,55.3,123.3,204.0,219.5,127.5,65.7,31.4,23.7,24.1,18.57,25.78,27.27,21.88
70,Crops and livestock products,India,Yield,Apples,1973,hg/ha,50889,apples,21.0,21.8,21.2,27.5,56.5,149.9,277.4,311.0,182.1,114.6,18.9,17.7,24.41,19.74,26.53,27.3,21.53
71,Crops and livestock products,India,Yield,Apples,1974,hg/ha,54562,apples,16.1,12.9,20.5,33.7,64.2,122.0,283.6,232.5,145.3,101.6,10.7,12.1,24.0,18.54,26.24,27.02,21.38
72,Crops and livestock products,India,Yield,Apples,1975,hg/ha,44080,apples,15.4,20.8,28.7,28.3,50.2,175.6,310.7,292.5,224.6,121.9,22.8,3.3,23.74,18.69,25.77,26.57,21.3
73,Crops and livestock products,India,Yield,Apples,1976,hg/ha,41494,apples,11.5,24.5,25.5,36.3,45.4,160.3,294.1,294.0,144.2,33.0,55.0,7.6,24.07,18.87,25.61,26.87,22.25
74,Crops and livestock products,India,Yield,Apples,1977,hg/ha,41399,apples,21.0,10.2,14.6,68.3,84.4,187.2,323.4,245.4,147.8,85.6,65.8,16.1,24.35,19.35,26.03,27.13,22.3
75,Crops and livestock products,India,Yield,Apples,1978,hg/ha,43383,apples,12.3,27.0,44.2,33.1,60.2,208.8,290.0,282.0,161.9,49.1,49.9,18.8,24.24,18.95,25.94,27.12,22.22
76,Crops and livestock products,India,Yield,Apples,1979,hg/ha,50780,apples,20.9,35.0,28.9,21.2,54.2,140.5,239.6,210.6,136.8,51.8,76.1,14.4,24.57,19.47,25.97,27.54,22.59
77,Crops and livestock products,India,Yield,Apples,1980,hg/ha,47372,apples,12.8,22.3,32.5,34.6,55.3,227.8,295.0,263.8,145.7,49.3,24.2,19.0,24.55,19.64,26.58,27.26,22.17
78,Crops and livestock products,India,Yield,Apples,1981,hg/ha,56329,apples,29.3,20.4,48.0,37.3,67.1,151.3,309.1,237.0,184.5,45.1,27.4,14.0,24.27,19.42,26.14,27.22,21.68
79,Crops and livestock products,India,Yield,Apples,1982,hg/ha,60291,apples,23.8,24.2,45.7,49.8,59.0,137.8,230.8,276.9,124.9,51.7,46.0,13.9,24.15,19.14,25.41,27.31,22.02
80,Crops and livestock products,India,Yield,Apples,1983,hg/ha,59774,apples,18.5,23.3,43.4,57.0,70.1,150.8,282.2,304.3,251.6,85.9,10.8,22.9,24.12,19.09,25.45,27.43,21.71
81,Crops and livestock products,India,Yield,Apples,1984,hg/ha,59773,apples,19.0,35.9,22.8,45.3,60.4,192.3,291.9,256.5,144.6,61.0,15.7,15.3,24.26,18.85,26.51,27.1,21.82
82,Crops and livestock products,India,Yield,Apples,1985,hg/ha,59773,apples,23.2,9.9,20.1,39.5,63.0,156.5,290.1,231.7,149.6,114.1,18.8,28.4,24.45,19.61,26.72,27.12,21.84
83,Crops and livestock products,India,Yield,Apples,1986,hg/ha,76242,apples,15.5,36.6,29.9,50.0,49.4,182.6,264.2,228.3,128.4,74.7,49.6,28.4,24.2,19.12,25.94,27.17,21.9
84,Crops and livestock products,India,Yield,Apples,1987,hg/ha,48311,apples,13.2,23.8,28.8,43.9,67.0,133.9,223.2,242.1,152.2,94.4,44.4,21.9,24.57,19.42,25.85,27.88,22.29
85,Crops and livestock products,India,Yield,Apples,1988,hg/ha,53776,apples,10.4,28.7,53.7,41.7,70.4,161.8,374.8,295.3,217.7,53.6,16.2,17.8,24.42,19.7,26.24,27.22,22.0
86,Crops and livestock products,India,Yield,Apples,1989,hg/ha,58080,apples,15.4,15.3,28.8,34.6,57.5,184.7,302.3,236.2,163.1,51.9,20.3,17.2,24.03,18.76,25.69,26.98,21.94
87,Crops and livestock products,India,Yield,Apples,1990,hg/ha,58435,apples,16.0,44.2,54.0,43.8,112.9,191.3,282.9,293.6,197.4,104.1,30.2,31.0,24.21,19.44,25.55,27.18,22.11
88,Crops and livestock products,India,Yield,Apples,1991,hg/ha,60680,apples,14.3,28.1,27.8,51.7,68.9,184.7,279.2,268.1,140.7,61.8,30.2,14.7,24.28,19.21,26.02,27.32,21.87
89,Crops and livestock products,India,Yield,Apples,1992,hg/ha,58991,apples,16.0,16.5,24.8,26.1,59.3,139.7,262.5,274.0,171.7,64.7,41.6,5.6,24.15,19.06,25.64,27.15,22.04
90,Crops and livestock products,India,Yield,Apples,1993,hg/ha,61083,apples,18.2,25.6,41.6,27.0,71.3,172.1,305.4,203.2,208.5,87.9,30.5,16.5,24.43,19.61,25.98,27.34,22.21
91,Crops and livestock products,India,Yield,Apples,1994,hg/ha,65000,apples,25.0,27.9,25.2,45.9,53.1,205.7,350.0,282.2,149.4,82.8,25.5,22.6,24.46,19.76,26.3,27.3,21.97
92,Crops and livestock products,India,Yield,Apples,1995,hg/ha,57143,apples,31.3,29.4,28.3,32.4,82.4,143.3,323.4,269.0,179.0,78.0,36.8,9.2,25.29,20.33,26.94,28.07,23.19
93,Crops and livestock products,India,Yield,Apples,1996,hg/ha,55798,apples,22.9,23.2,32.1,31.4,56.0,185.7,262.1,292.4,146.1,100.5,13.6,16.9,24.55,20.79,26.49,27.22,21.76
94,Crops and livestock products,India,Yield,Apples,1997,hg/ha,58751,apples,14.3,10.4,30.3,46.0,48.6,171.7,281.5,261.9,151.4,61.1,57.6,48.3,24.1,18.87,25.69,27.6,21.89
95,Crops and livestock products,India,Yield,Apples,1998,hg/ha,58002,apples,16.4,28.2,39.1,36.3,49.2,163.9,278.4,243.8,196.5,107.4,39.3,10.3,24.76,19.72,26.41,27.69,22.42
96,Crops and livestock products,India,Yield,Apples,1999,hg/ha,59740,apples,13.7,11.2,8.8,19.3,94.9,169.9,261.7,213.2,183.0,117.2,20.0,3.7,24.67,19.75,26.66,27.38,22.29
97,Crops and livestock products,India,Yield,Apples,2000,hg/ha,45652,apples,18.4,28.2,17.9,34.7,71.6,179.0,263.5,221.1,134.5,41.9,14.6,10.0,24.6,19.33,26.47,27.23,22.68
98,Crops and livestock products,India,Yield,Apples,2001,hg/ha,51250,apples,7.3,8.8,18.8,43.7,67.2,219.1,279.7,209.4,114.2,107.5,22.5,7.1,24.73,19.75,26.82,27.47,22.52
99,Crops and livestock products,India,Yield,Apples,2002,hg/ha,48333,apples,15.7,20.3,21.5,38.3,63.3,180.1,146.2,262.5,151.2,59.5,18.2,5.1,25.0,19.65,27.22,27.71,22.58
100,Crops and livestock products,India,Yield,Apples,2003,hg/ha,58800,apples,7.6,45.6,33.3,35.4,39.1,184.5,316.7,255.3,191.4,100.6,15.5,18.6,24.72,19.82,26.52,27.64,22.23
101,Crops and livestock products,India,Yield,Apples,2004,hg/ha,75626,apples,25.7,8.8,11.4,59.0,88.9,158.7,242.1,248.7,124.6,92.2,15.8,4.6,24.74,19.93,27.06,27.33,22.24
102,Crops and livestock products,India,Yield,Apples,2005,hg/ha,75379,apples,28.1,41.8,42.5,37.7,46.1,143.2,334.1,190.1,206.9,99.3,27.2,11.2,24.58,19.79,26.33,27.64,21.93
103,Crops and livestock products,India,Yield,Apples,2006,hg/ha,80053,apples,17.7,11.9,35.6,32.7,75.0,141.8,287.6,281.3,178.6,51.8,34.6,13.1,25.06,21.33,26.52,27.4,22.66
104,Crops and livestock products,India,Yield,Apples,2007,hg/ha,64444,apples,1.7,36.7,35.2,30.6,46.8,192.5,286.2,257.4,206.8,55.7,14.4,15.3,24.77,20.1,26.69,27.49,22.32
105,Crops and livestock products,India,Yield,Apples,2008,hg/ha,75795,apples,18.4,19.3,41.2,29.5,43.7,202.0,245.0,265.8,165.1,51.6,25.5,11.0,24.61,19.16,26.46,27.26,22.87
106,Crops and livestock products,India,Yield,Apples,2009,hg/ha,72445,apples,12.0,12.0,14.2,25.1,56.0,85.7,280.7,192.5,139.4,71.4,53.7,11.1,25.11,20.72,26.86,27.89,22.58
107,Crops and livestock products,India,Yield,Apples,2010,hg/ha,62821,apples,7.5,17.0,14.0,39.0,73.8,138.1,300.7,274.7,197.7,69.0,61.4,22.7,25.13,20.19,27.83,27.5,22.6
108,Crops and livestock products,India,Yield,Apples,2011,hg/ha,100000,apples,6.8,25.8,22.4,41.1,53.1,183.5,246.0,284.9,186.9,38.1,20.1,7.6,24.67,19.54,26.38,27.54,22.71
109,Crops and livestock products,India,Yield,Apples,2012,hg/ha,68450,apples,26.5,12.7,11.3,47.5,31.7,117.8,250.2,262.4,193.5,58.7,30.7,11.7,24.69,19.34,26.55,27.71,22.35
110,Crops and livestock products,India,Yield,Apples,2013,hg/ha,61378,apples,11.3,40.1,15.7,30.4,57.8,219.8,310.0,254.7,152.7,129.4,14.0,6.7,24.82,19.98,26.85,27.46,22.5
111,Crops and livestock products,India,Yield,Apples,2014,hg/ha,79788,apples,19.2,27.4,36.1,22.2,72.9,95.4,261.2,237.5,188.0,60.2,14.4,10.7,24.73,19.58,26.24,27.88,22.47
112,Crops and livestock products,India,Yield,Apples,2015,hg/ha,66897,apples,17.9,25.6,36.1,42.1,67.4,164.6,284.5,257.5,171.9,73.1,29.4,19.0,24.91,20.12,26.29,27.73,22.99
113,Crops and livestock products,India,Yield,Apples,2016,hg/ha,91011,apples,17.6,26.2,34.4,42.8,66.3,168.8,287.7,261.0,169.2,76.0,29.2,19.7,25.15,22.25,28.86,28.44,24.2
114,Crops and livestock products,India,Yield,Apples,2017,hg/ha,74262,apples,18.2,26.6,33.0,41.5,68.1,169.2,294.8,260.3,173.4,78.1,28.5,19.3,24.79,21.84,28.41,28.5,24.21
115,Crops and livestock products,India,Yield,Apples,2018,hg/ha,77309,apples,18.5,26.5,32.1,39.5,67.0,171.9,293.2,259.4,165.3,79.2,28.7,18.9,25.09,21.24,28.16,28.28,23.55
116,Crops and livestock products,India,Production,Apples,1961,tonnes,185000,apples,26.1,34.8,26.0,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,24.0,18.98,26.11,27.06,21.17
117,Crops and livestock products,India,Production,Apples,1962,tonnes,160000,apples,12.6,21.6,16.0,43.6,70.8,137.1,281.6,276.9,211.0,78.4,18.3,29.9,24.04,18.91,25.91,27.14,21.47
118,Crops and livestock products,India,Production,Apples,1963,tonnes,140000,apples,6.8,9.8,41.7,50.6,60.9,168.0,258.6,316.7,164.9,99.1,28.4,15.5,24.15,19.07,25.57,27.21,22.04
119,Crops and livestock products,India,Production,Apples,1964,tonnes,110000,apples,18.6,14.1,19.0,40.0,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,24.1,18.83,26.38,26.9,21.58
120,Crops and livestock products,India,Production,Apples,1965,tonnes,90000,apples,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34.0,18.2,22.2,24.07,19.22,25.24,27.08,22.1
121,Crops and livestock products,India,Production,Apples,1966,tonnes,97500,apples,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51.0,16.7,24.36,19.93,26.07,27.17,21.83
122,Crops and livestock products,India,Production,Apples,1967,tonnes,127000,apples,11.1,14.2,63.3,29.5,42.8,144.0,305.6,264.3,170.3,40.6,12.1,56.1,24.11,19.44,25.55,27.19,21.68
123,Crops and livestock products,India,Production,Apples,1968,tonnes,163000,apples,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,23.94,18.25,25.62,27.22,21.69
124,Crops and livestock products,India,Production,Apples,1969,tonnes,201000,apples,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55.0,35.8,12.7,24.46,19.18,26.39,27.35,22.2
125,Crops and livestock products,India,Production,Apples,1970,tonnes,277000,apples,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313.0,212.7,75.3,15.7,1.6,24.26,19.56,26.39,27.06,21.55
126,Crops and livestock products,India,Production,Apples,1971,tonnes,352000,apples,16.1,23.6,10.8,52.8,75.0,229.9,267.2,267.3,146.5,99.9,15.9,12.0,23.91,19.05,25.78,26.75,21.48
127,Crops and livestock products,India,Production,Apples,1972,tonnes,433000,apples,10.3,27.6,21.6,37.1,55.3,123.3,204.0,219.5,127.5,65.7,31.4,23.7,24.1,18.57,25.78,27.27,21.88
128,Crops and livestock products,India,Production,Apples,1973,tonnes,515000,apples,21.0,21.8,21.2,27.5,56.5,149.9,277.4,311.0,182.1,114.6,18.9,17.7,24.41,19.74,26.53,27.3,21.53
129,Crops and livestock products,India,Production,Apples,1974,tonnes,592000,apples,16.1,12.9,20.5,33.7,64.2,122.0,283.6,232.5,145.3,101.6,10.7,12.1,24.0,18.54,26.24,27.02,21.38
130,Crops and livestock products,India,Production,Apples,1975,tonnes,510000,apples,15.4,20.8,28.7,28.3,50.2,175.6,310.7,292.5,224.6,121.9,22.8,3.3,23.74,18.69,25.77,26.57,21.3
131,Crops and livestock products,India,Production,Apples,1976,tonnes,500000,apples,11.5,24.5,25.5,36.3,45.4,160.3,294.1,294.0,144.2,33.0,55.0,7.6,24.07,18.87,25.61,26.87,22.25
132,Crops and livestock products,India,Production,Apples,1977,tonnes,503500,apples,21.0,10.2,14.6,68.3,84.4,187.2,323.4,245.4,147.8,85.6,65.8,16.1,24.35,19.35,26.03,27.13,22.3
